iter	Passed	Remaining
0	164	164705
1	253	1262982	204	68021
3	216	54030
4	229	45585
5	238	39468
6	248	35238
77	328	4077688	350	38639
9	368	36440
10	385	34679
11	397	32737
12	422	32066
13	479	33804
14	491	32294
15	514	31648
16	533	30862
17	541	29518
18	548	28308
19	553	27117220	572	26701
21	592	26355
22	604	25684
23	611	24849
24	620	24206
25	629	23598
26	646	23287
27	657	22841
28	666	22315
29	680	22016
30	691	21618
31	698	21120
32	707	20734
33	718	20407334	727	20060335	735	19684336	742	19322337	751	1901938	692	17057
39	702	16863
40	712	16675
441	794	18110442	806	17940443	812	1765544	758	16086
45	773	16048
46	786	15951
47	799	15865
48	803	15603
49	815	15495
50	820	15261
551	902	1644952	841	15029
553	923	16178554	935	16074555	947	15966
56	960	15883
57	969	15747
58	978	15613
59	985	15440660	992	15274661	1001	151562	935	13920
63	63	1014	1464	953	13710
65	963	13634
66	97166	104367	981	67	10568	987	168	1069	998	1369	170	1007	13186
71	1016	13104
72	1026	13029
73	1029	1273	174	1037	1274	175	1044	1275	176	1057	12673
77	1067	12617
78	1077	12565
79	1086	12490
80	1095	12430
81	1109	12425
82	1121	12387
83	1128	12309
84	1134	1284	185	1144	1285	1231	13086
86	187	1168	1287	188	1179	1288	1257	12873
89	190	1200	1190	191	1208	1191	192	1216	1192	193	1228	1193	1305	12581
94	195	1248	1195	196	1271	11840
97	1290	11879
98	1300	11835
99	1317	11855
100	1332	11864
101	1346	11853
102	1359	11840
103	1374	11840
104	1380	11764
105	1392	11741
106	1405	11732
107	1415	11695
108	1437	11748
109	1452	11748
110	1461	11702
111	1468	11646
112	1477	11596
113	1494	11611
114	1514	11654
115	1526	11631
116	1538	11607
117	1542	11527
118	1545	11445
119	1551	11377
120	1555	11301
121	1559	1121	1122	1564	1122	1123	1568	1123	1654	11687
124	1671	11699
125	1678	11643
126	1689	11610
127	1705	11619
128	1721	11622
129	1744	11675
130	1762	11691
131	1770	11640
132	1781	11612
133	1795	11602
134	1805	11570
135	1810	11500
136	1814	11430
137	1823	11393
138	1836	11374
139	1843	11326
140	1854	11295
141	1870	11301
142	1882	11281
143	1893	11253
144	1899	11201
145	1913	11190
146	1922	11156
147	1932	11126
148	1944	11106
149	1955	11082
150	1965	11053
