iter	Passed	Remaining
0	153	153521
1	163	81711
2	176	58794
3	184	46014
4	197	39246
5	208	34572
6	212	30153
7	219	27157
8	228	25136
9	239	23725
10	248	22363
11	260	21443
12	269	20456
13	282	19874
14	298	19599
15	309	19051
16	327	18918
17	339	18529
18	348	17978
19	351	17246
20	358	16697
21	365	16244
22	375	15943
23	386	15733
24	392	15290
25	398	14912
26	407	14685
27	422	14662
28	435	14569
29	447	14478
30	460	14384
31	471	14274
32	480	14074
33	491	13963
34	505	13930
35	516	13839
36	531	13825
37	539	13651
38	548	13526
39	559	13417
40	570	13349
41	587	13396
42	598	13309
43	610	13264
44	621	13182
45	627	13018
46	642	13021
47	652	12943
48	666	12930
49	675	12838
50	689	12836
51	703	12816
52	711	12708
53	721	12644
54	730	12550
55	739	12474
56	750	12411
57	758	12317
58	769	12269
59	782	12251
60	786	12114
61	796	12048
62	812	12080
63	824	12052
64	833	11983
65	841	11906
66	851	11852
67	860	11797
68	870	11746
69	889	11812
70	896	11725
71	901	11614
72	905	11492
73	910	11391
74	916	11300
75	921	11201
76	927	11115
77	931	11014
78	935	10909
79	941	10824
80	945	10726
81	949	10632
887	956	9912
88	968	9910
89	983	9944
90	998	9973
91	1009	9964
92	1016	9912
93	1027	9900
997	1048	9650
98	1125	10239
99	1146	10321
100	1166	10379
101	1177	10366
102	1192	10383
103	1200	10345
104	1217	10375
105	1229	10365
106	1235	10309
10107	1260	1040108	1264	10339
10109	1339	10838
110	1360	10893
111	1371	10873
112	1393	10938
113	1434	11148
114	1443	11112
115	1457	11106
116	1466	11065
117	1472	11004
118	1482	10974
119	1501	11007
120	1510	10973
121	1528	11001
122	1537	10964
123	1546	10923
124	1555	10888
125	1564	10855
126	1578	10847
127	1587	10813
128	1600	10803
129	1606	10750
130	1616	10726
131	1635	10757
132	1647	10742
133	1655	10701
134	1670	10702
135	1682	10686
136	1691	10654
137	1704	10649
138	1715	10623
139	1725	10599
140	1734	10567
141	1738	10503
142	1748	10481
143	1758	10453
144	1765	10411
145	1782	10424
146	1792	10401
147	1799	10361
148	1810	10338
149	1822	10330
150	1829	10286
151	1838	10259
152	1851	10247
153	1860	10222
154	1871	10200
155	1882	10185
156	1893	10168
157	1902	10137
158	1922	10167
159	1933	10150
160	1943	10129
161	1957	10124
162	1967	10102
163	1978	10084
164	1985	10050
165	1996	10029
166	2004	10000
167	2014	9976
168	2028	9976
169	2038	9952
170	2050	9939
171	2060	9916
172	2069	9891
173	2078	9867
174	2090	9854
175	2095	9812
176	2104	9786
177	2116	9772
178	2126	9753
179	2132	9713
180	2138	9677
181	2150	9663
182	2157	9631
183	2167	9614
184	2175	9582
185	2186	9567
186	2199	9563
187	2207	9534
188	2221	9533
189	2228	9499
190	2239	9487
191	2246	9454
192	2259	9447
193	2263	9402
194	2273	9387
195	2286	9379
196	2295	9355
197	2312	9365
198	2339	9418
199	2357	9429
200	2365	9401
201	2375	9386
202	2386	9370
203	2394	9344
204	2400	9308
205	2406	9274
206	2412	9241
207	2417	9206
208	2425	9179
209	2436	9167
210	2443	91213211	2456	91214212	2461	90215213	2470	90216	2463	8890
217	2473	8871
218	2483	8856
219217	2506	89220218	2511	89221219	2521	89222220	2529	89223221	2537	88224222	2541	88225223	2550	88226224	2560	8818
225	2575	8819
226	2587	8810
227	2592	8778
228	2601	8758
229	2607	8728
230	2618	8716
231	2624	8686
232	2635	8675
233	2644	8657
234	2652	8634
235	2658	8604
236	2668	8590
237	2681	8586
238	2695	8581
239	2701	8555
240	2706	8523
241	2717	8511
242	2722	8480
243	2739	8488
244	2750	8477
245	2763	8470
246	2771	8450
247	2777	8420
248	2783	8396
249	2793	8380
250	2805	8371
251	2814	8353
252	2823	8337
253	2837	8332
254	2848	8323
255	2857	8304
256	2864	8280
257	2868	8251
258	2876	8229
259	2882	8204
260	2890	8184
261	2900	8170
262	2910	8155
263	2916	8130
264	2927	8119
265	2933	8094
266	2944	8082
267	2957	8076
268	2963	8053
269	2971	8033
270	2979	8014
271	2982	7983
272	2994	7973
273	3001	7953
274	3008	7930
275	3015	7911
276	3024	7894
277	3034	7881
278	3044	7867
279	3053	7851
280	3063	7839
281	3075	7830
282	3088	7824
283	3098	7812
284	3105	7791
285	3109	7763
286	3117	7746
287	3128	7734
288	3149	7748
289	3164	7748
290	3173	7731
291	3177	7704
292	3188	7693
293	3196	7675
294	3202	7654
295	3213	7642
296	3229	7643
297	3243	7640
298	3255	7632
299	3269	7629
300	3279	7614
301	3293	7612
302	3309	7613
303	3317	7596
304	3337	7605
305	3344	7585
306	3358	7580
307	3369	7571
308	3376	7549
309	3383	7531
310	3392	7516
311	3402	7503
312	3409	7484
313	3421	7475
314	3429	7457
315	3437	7440
316	3444	7420
317	3450	7400
318	3462	7391
319	3467	7369
320	3472	7345
321	3476	7320
322	3485	7305
323	3492	7287
324	3507	7285
325	3511	7260
326	3517	7240
327	3526	7225
328	3534	7207
329	3541	7189
330	3550	7177
331	3562	7167
332	3570	7152
333	3583	7145
334	3592	7130
335	3604	7123
336	3614	7110
337	3623	7097
338	3640	7097
339	3647	7080
340	3659	7071
341	3669	7060
342	3679	7048
343	3686	7030
344	3697	7020
345	3704	7002
346	3718	6997
347	3729	6986
348	3733	6965
349	3741	6948
350	3747	6929
351	3752	6908
352	3762	6895
353	3767	6874
354	3777	6863
355	3784	6845
356	3827	6892
357	3832	6873
358	3838	6853
359	3843	6833
360	3849	6813
361	3854	6794
362	3860	6774
363	3888	6793
364	3900	6785
365	3910	6773
366	3917	67369367	3921	67370	3921	6648
371	3928	6632
372	3939	6622
373	3954	6618
374	3981	6635
375	3987	6617
376	3996	6604
377	4006	6592
378	4015	6579
379	4027	6570
380	4041	6566
381	4049	6551
382	4062	6544
383	4067	6525
384	4081	6520
385	4092	6510
386	4101	6497
387	4109	6481
388	4120	6472
389	4130	6461
390	4137	6443
391	4146	6431
392	4156	6420
393	4167	6410
394	4174	6394
395	4185	6384
396	4194	6370
397	4197	399	4398	4208	400	4399	4220	401	4400398	4253	64401399	42403	4402400	4294	64403401	4314	64404402	4333	6419
403	4351	6420
404	4364	6411
405	4379	6406
406	4390	6397
407	4396	63410408	4401	63411409	4407	63412410	4412	63413	4403	6232
414	4408	6214
415	4416	6199
416	4422	6182
417	4427	6164
418	4434	6149
419	4451	6147
420	4462	6137
421	4467	6118
422	4471	6099
423	4479	6085
424	4486	6070
425	4499	6062
426	4507	6048
427	4518	6038
428	4535	6036
429	4541	6020
430	4557	6016
431	4563	5999
432	4570	5984
433	4583	5978
434	4596	5970
