iter	RMSE
0	726.927945111	715.445315122	703.937236
3	692.4045087
4	681.8776576
5	670.868887766	660.821117
7	650.7073993
8	641.474728
9	632.223565
10	623.8927585
11	614.7879664
12	607.2463187
13	599.1703612
14	591.7047237
15	584.7924453116	577.714898717	558.9245444
1818	562.21201419	547.4456435
20	542.5504773
21	538.2310903
22	533.2077313
23	528.2590098
24	523.7509724
25	529.6113749
26	515.3154747
27	520.855735528	508.3138906
29	504.0059283
330	508.9840423331	505.4002973332	501.4653683333	497.4196821
34	494.0292073535	490.6081733636	487.2697703737	484.4067633838	482.051305339	479.7112875440	477.6622204441	474.500584542	472.7500017
443	468.2878449444	465.7915917445	463.7341605
46	461.7336253447	459.9335038448	456.6899618449	454.7476952550	452.7286933551	450.52	442.52	448.453	441.53	446.754	439.54	445.2237242
55	443.5435041
56	441.357	434557	440.0830197
58	438.6799075959	437.160	430.60	435.1775361	61	434.105875
62	433.0500716363	431.1707796664	429.8214856665	428.3486686666	427.1268201667	426.4219607668	425.369	418669	424.70	417.770	423.71	416.71	420.0806868
72	418.4800443
73	417.4174869
74	416.1972211
75	415.0492292
76	414.2284405
77	413.3804234
78	412.4673175
79	411.1194624
80	410.2035547
81	409.4772806
82	408.7304165
83	407.9409977
84	407.1591346
85	406.500806
86	405.6079392
87	404.4450644
88	403.3753183
89	402.3947365
90	401.8734929
91	401.0804009
92	400.0660544
93	398.7987717
94	397.7071816
95	397.0502507
96	395.9439509
97	394.8777079
98	394.1842418
99	393.5276477
100	392.8029
101	392.3744166
102	391.9399723
103	391.313591
104	390.4604841
105	389.6964497
106	388.9811211
107	388.2949252
108	387.5063403
109	387.0669424
110	386.5404662
111	385.8108323
112	385.0052719
113	384.4882389
114	383.525117
115	383.0787523
116	382.8731754
117	381.6270319
118	381.0940129
119	380.6140188
120	379.7034275
121	379.2054001
122	378.7120494
123	378.2716714
124	377.9396551
125	377.6540998
126	376.7763957
127	376.3174787
128	375.5504846
129	375.2723395
130	374.7511007
131	374.3979991
132	373.8289958
133	373.3809638
134	373.17585
135	372.8276776
136	372.483707
137	371.8171039
138	371.0810023
139	370.5870255
140	370.0406584
141	369.2802271
142	368.4639328
143	367.8342891
144	367.1269958
145	366.6627789
146	366.0598191
147	365.3113417
148	364.9500597
149	364.439592
150	364.13273
151	363.3960293
152	363.0760523
153	362.7153604
154	361.9972052
155	361.6377939
156	360.7661838
157	360.5442004
158	360.2485478
159	359.7519328
160	359.0265956
161	358.8091284
162	358.5130425
163	357.6150421
164	357.3470931
165	356.8705129
166	356.5019391
167	356.2544857
168	355.7317765
169	355.6471181
170	355.3210452
171	354.7287891
172	354.2234535
173	353.4504368
174	353.1527009
175	352.4011057
176	352.0741086
177	351.7188975
178	351.0226098
179	350.3139303
180	349.8329782
181	349.4265649
182	349.2077142
183	348.6392882
184	347.9113452
185	347.5560849
186	346.9771256
187	346.3377597
188	346.0569073
189	345.7198646
190	345.115477
191	344.5156178
192	344.1935504
193	343.7478053
194	343.1106177
195	342.8605744
196	342.4364509
197	341.9189577
198	341.547886
199	341.0369009
200	340.5454707
201	340.3479873
202	340.0215718
203	339.7029488
204	339.1497774
205	338.7889628
206	338.0855093
207	337.5034652
208	337.0771297
209	336.7054691
210	336.5427038
211	336.0833498
212	335.6290141
213	335.3091793
214	335.0507997
215	334.4740289
216	333.8996269
217	333.1500744
218	332.5355433
219	332.0673958
220	331.5363847
221	331.1001206
222	330.9099458
223	330.5987588
224	330.4502608
225	330.0640584
226	329.6509256
227	329.5066757
228	328.8172493
229	327.8871593
230	327.439331
231	327.2077154
232	326.7958823
233	326.6088427
234	325.9299475
235	325.5622823
236	325.0463066
237	324.6760781
238	324.0895921
239	323.4989615
240	322.6550277
241	322.5035671
242	322.101156
243	321.984646
244	321.6345364
245	321.1797521
246	320.5191344
247	319.529981
248	319.0809933
249	318.7117993
250	318.1543728
251	317.9212275
252	317.4727301
253	316.8437861
254	316.578798
255	316.1276643
256	315.8041303
257	315.5114418
258	314.6828916
259	313.9351799
260	313.5474167
261	312.9358072
262	312.5896444
263	312.5106504
264	312.2141942
265	311.809926
266	311.2417973
267	310.7276522
268	310.1477392
269	309.6038897
270	309.1524276
271	308.5759523
272	308.3002874
273	307.7351417
274	307.5115702
275	307.0681188
276	306.5711583
277	306.0367306
278	305.618482
279	305.3534781
280	304.8680452
281	304.5484498
282	303.801952
283	303.2984368
284	302.9039399
285	302.5958537
286	302.5420636
287	301.9135688
288	301.6507352
289	301.120239
290	300.6562406
291	300.5486122
292	299.9797815
293	299.5315118
294	299.0437329
295	298.7723656
296	298.2095368
297	297.9729786
298	297.5400837
299	297.122877
300	296.6672208
301	296.4353903
302	296.0286278
303	295.4829742
304	294.9514147
305	294.5209599
306	294.1489598
307	293.5887716
308	293.2365696
309	292.9239179
310	292.6044569
311	292.2288247
312	291.9187355
313	291.4792068
314	291.046031
315	290.9669205
316	290.6565567
317	290.3980501
318	290.1161947
319	289.64279
320	289.2715213
321	288.8811171
322	288.5519986
323	288.1106106
324	287.6343351
325	287.3744
326	287.259037
327	286.9007345
328	286.5563053
329	286.1279265
330	285.6248066
331	285.2376548
332	284.7956
333	284.3843931
334	283.9179029
335	283.5133195
336	283.0372632
337	282.727595
338	282.4851909
339	282.2496368
340	282.0370269
341	281.7422599
342	281.222756
343	281.0141643
344	280.933509
345	280.7062186
346	280.2190364
347	279.7640404
348	279.4640644
349	279.1892864
350	278.8082877
351	278.4159281
352	278.1936481
353	278.0113801
354	277.8919007
355	277.3740305
356	276.8994398
357	276.562179
358	276.212669
359	275.7058525
360	275.4938909
361	275.1682438
362	275.0124825
363	274.7015474
364	274.5378439
365	274.2064036
366	273.8341054
367	273.5874437
368	273.1253248
369	272.8631334
370	272.38765537371	272.02781037372	271.7943073373	271.6647322
374	271.3993203
375	271.26486343376	271.10254783377	270.90102173378	270.71330683379	270.3626744
380	270.19953693381	270.00393033382	269.6571173
383	269.3246659
384	269.1204861
385	268.729386
386	268.538511
387	268.4197759
388	268.2566716
389	268.2234621
390	267.9435091
391	267.6313674
392	267.4594724
393	267.2196071
394	266.9229053
395	266.8407073
396	266.4939668
397	266.4104262
398	266.0491285
399	265.88451
400	265.6901883
401	265.5072842
402	265.3881192
403	265.0641447
404	264.7828452
405	264.4293102
406	264.2042612
407	263.9068096
408	263.5859701
409	263.3691698
410	263.3143851
411	263.0498223
412	262.7157315
413	262.6003396
414	262.2622603
415	262.0949868
416	261.8680543
417	261.5484737
418	261.2906489
419	261.1512996
420	260.9187723
421	260.4994932
422	260.2783162
423	260.0192015
424	259.839024
425	259.7643028
426	259.6115595
427	259.3350494
428	259.1671273
429	259.0316625
430	258.7016709
431	258.5575863
432	258.1851092
433	258.1346172
434	257.8975463
435	257.7509487
436	257.7265359
437	257.5570377
438	257.3474018
439	257.1924774
440	256.9250725
441	256.6761943
442	256.5547011
443	256.4121521
444	256.2336838
445	255.997683
446	255.5792892
447	255.2957477
448	254.9979889
449	254.8039534
450	254.5644151
451	254.2471608
452	253.9756225
453	253.7570073
454	253.4435923
455	253.3170504
456	253.1933753
457	253.0023127
458	252.793742
459	252.4845934
460	252.3016037
461	252.1735726
462	251.8802501
463	251.566593
464	251.3481571
465	251.1960864
466	251.0211286
467	250.9041798
468	250.5707624
469	250.5409825
470	250.2518289
471	250.0017223
472	249.875887
473	249.6480959
474	249.5462532
475	249.3523995
476	249.1270593
477	248.9012523
478	248.7655711
479	248.4993019
480	248.4234691
481	248.19761
482	248.0663045
483	247.8982878
484	247.8551328
485	247.6809694
486	247.4568281
487	247.2448603
488	246.960441
489	246.7391397
490	246.4991446
491	246.3441787
492	246.2891971
493	246.0975752
494	245.9716413
495	245.6951576
496	245.4745164
497	245.3170621
498	245.1403798
499	244.839537
500	244.8070841
501	244.6451898
502	244.4121621
503	244.3774163
504	244.3066901
505	244.07352
506	243.8452112
507	243.6124465
508	243.3750185
509	243.1098593
510	242.953594
511	242.8107168
512	242.6144202
513	242.5074071
514	242.2413205
515	242.0100145
516	241.829357
517	241.5860256
518	241.4014494
519	241.278157
520	241.1367065
521	240.9717659
522	240.6756235
523	240.4531373
524	240.3290667
525	240.2659031
526	240.0784484
527	239.9368634
528	239.8453358
529	239.6279481
530	239.6044851
531	239.4782463
532	239.3647872
533	239.1298759
534	239.0113852
535	238.8624218
536	238.6217349
537	238.5029794
538	238.3141585
539	238.2185648
540	237.9651756
541	237.7316344
542	237.4973149
543	237.3104008
544	237.2286306
545	237.2140211
546	237.1032012
547	236.9657601
548	236.9421333
549	236.8497541
550	236.6541822
551	236.6313386
552	236.536561
553	236.4145698
554	236.3461304
555	236.2028104
556	236.0459857
557	236.0312833
558	235.9690238
559	235.7335836
560	235.5478067
561	235.2964001
562	235.10047
563	234.8248539
564	234.67937
565	234.5008679
566	234.4053743
567	234.2412444
568	234.1601993
569	234.0426591
570	233.9469258
571	233.7482175
572	233.447722
573	233.3135704
574	233.0978517
575	232.8685148
576	232.6938266
577	232.5914058
578	232.3871698
579	232.2529633
580	232.0641979
581	231.8271742
582	231.7466531
583	231.597216
584	231.4720051
585	231.2944378
586	231.2620883
587	231.0369195
588	230.8928245
589	230.6286303
590	230.4373822
591	230.2776222
592	230.1718326
593	229.9113629
594	229.8726201
595	229.5726612
596	229.5338867
597	229.3731589
598	229.1838338
599	229.0776865
600	228.887917
601	228.7745644
602	228.6739025
603	228.527996
604	228.4815874
605	228.3418479
606	228.1716872
607	228.066731
608	227.8960488
609	227.720545
610	227.5784786
611	227.5001406
612	227.4118834
613	227.2510093
614	227.1405145
615	226.9948888
616	226.8745613
617	226.7220653
618	226.7067408
619	226.545657
620	226.3654312
621	226.2754587
622	226.2148533
623	226.114128
624	225.8965586
625	225.7093437
626	225.485699
627	225.2657734
628	225.1301314
629	225.0446111
630	224.9008254
631	224.8601482
632	224.7383709
633	224.593782
634	224.4563024
635	224.3796022
636	224.2398699
637	224.208283
638	224.1125201
639	223.877305
640	223.7903927
641	223.6128735
642	223.4832728
643	223.3019888
644	223.0562052
645	222.9598679
646	222.7772886
647	222.6945704
648	222.4569352
649	222.3748414
650	222.2848044
651	222.2195395
652	222.156028
653	222.0521463
654	221.8996502
655	221.7605229
656	221.5969238
657	221.432846
658	221.2550346
659	221.1641446
660	221.0280609
661	220.9094363
662	220.8106706
663	220.7737954
664	220.7356121
665	220.6399011
666	220.5498823
667	220.4798635
668	220.3914348
669	220.2611175
670	220.1498739
671	220.0198103
672	219.9644842
673	219.8170841
674	219.7947713
675	219.7716783
676	219.6127828
677	219.5321481
678	219.4243133
679	219.2580096
680	219.1109757
681	219.0860986
682	218.9422231
683	218.7861202
684	218.7480514
685	218.6553352
686	218.5195983
687	218.3808861
688	218.2558599
689	218.0687435
690	218.0065726
691	217.9482286
692	217.7666919
693	217.6005702
694	217.5163853
695	217.3867409
696	217.3164421
697	217.2314589
698	217.1500411
699	216.9964518
700	216.9513838
701	216.8114033
702	216.7172442
703	216.5888774
704	216.5260779
705	216.4146332
706	216.3487754
707	216.208041
708	216.1034667
709	216.040839
710	215.9589035
711	215.9331708
712	215.8358947
713	215.7719827
714	215.690522
715	215.5930308
716	215.4970394
717	215.4299923
718	215.394774
719	215.3527568
720	215.2262744
721	215.1574784
722	215.0199156
723	214.8739012
724	214.8162008
725	214.7701317
726	214.6575614
727	214.6184382
728	214.5860905
729	214.439019
730	214.3246551
731	214.2196079
732	214.0899898
733	213.9396759
734	213.9089249
735	213.7528352
736	213.6820848
737	213.5908394
738	213.5057979
739	213.3426044
740	213.2053561
741	213.0566704
742	212.9795696
743	212.8921357
744	212.8221502
745	212.7086793
746	212.6658779
747	212.5550073
748	212.4181189
749	212.364593
750	212.308806
751	212.2396116
752	212.1526302
753	212.0649705
754	211.9783742
755	211.9073083
756	211.8181947
757	211.768067
758	211.6462585
759	211.4669617
760	211.3375145
761	211.2935153
762	211.2569566
763	211.0784917
764	211.0312272
765	210.9082764
766	210.8870475
767	210.7815738
768	210.765811
769	210.693867
770	210.6840646
771	210.6631728
772	210.5962483
773	210.4875983
774	210.4748349
775	210.4551022
776	210.4248886
777	210.3567145
778	210.2357277
779	210.1629938
780	210.1487518
781	210.0208506
782	209.9803094
783	209.8982301
784	209.7879629
785	209.6846808
786	209.6393675
787	209.5684708
788	209.496517
789	209.3906237
790	209.2692768
791	209.1584507
792	209.1470136
793	209.0768196
794	209.0197391
795	208.9721562
796	208.9635982
797	208.8637628
798	208.7366091
799	208.6760241
800	208.5559145
801	208.4751598
802	208.3501384
803	208.2360927
804	208.1114863
805	208.0914753
806	208.0392162
807	208.029934
808	207.9451041
809	207.8047831
810	207.7708771
811	207.7120191
812	207.7035666
813	207.6952548
814	207.6088903
815	207.6011689
816	207.5401297
817	207.4943885
818	207.3818812
819	207.3115041
820	207.1738264
821	207.078927
822	207.0711193
823	207.0120967
824	206.9886738
825	206.8710191
826	206.8483646
827	206.7744205
828	206.7061592
829	206.698456
830	206.6326636
831	206.5273675
832	206.4578455
833	206.4071314
834	206.2816335
835	206.2501308
836	206.1804012
837	206.0677407
838	206.0387517
839	206.0196455
840	205.8249133
