iter	Passed	Remaining
0	158	157876
1	167	83829
2	183	61083
3	196	48898
4	210	41841
5	219	36400
6	234	33330
7	247	30645
8	260	28729
9	272	26932
10	284	25577
11	300	24722
12	311	23612
13	320	22589
14	329	21659
15	338	20831
16	346	20047
17	358	19573
18	387	20022
19	387	19006
20	401	18731
21	420	18681
22	433	18408
23	445	18121
24	459	17920
25	470	17614
26	484	17460
27	498	17301
28	509	17063
29	520	16825
30	530	16584
31	547	16573
32	562	16477
33	579	16458
34	591	16296
35	606	16231
36	621	16162
37	633	16039
38	645	15902
39	656	15767
40	668	15636
41	679	15506
42	694	15455
43	704	15312
44	719	15272
45	735	15255
46	744	15089
47	757	15014
48	768	14913
49	780	14829
50	790	14716
51	802	14628
52	817	14605
53	833	14601
54	855	14701
55	870	14677
56	882	14593
57	897	14568
58	909	14505
59	926	14512
60	955	14701
61	984	14895
62	1003	14932663	1025	15003664	1053	15149665	1068	15123666	1093	15234667	1110	15216668	1120	15126669	1142	15177770	1159	1517771	1199	15459
72	1221	15506
73	1234	15450
74	1253	15457
75	1273	15478
76	1295	15528
77	1315	15545
78	1330	15514
79	1348	15507
80	1365	15491
81	1385	15511
82	1390	15360
83	1403	15301
84	1425	15349
85	1438	15289
86	1451	15235
87	1467	15207
88	1482	15177
89	1501	15184
90	1515	15139
91	1522	15027
92	1532	14944
93	1544	14889
94	1559	14856
95	1568	14766
96	1578	14694
97	1593	14663
98	1604	14602
99	1615	14542
100	1634	14551
101	1649	14518
102	1664	14493
103	1678	14459
104	1693	14436
105	1705	14386
106	1715	14313
107	1721	14215
108	1732	14162
109	1750	14164
110	1767	14152
111	1781	14125
112	1795	14096
113	1806	14037
114	1816	13978
115	1828	13936
116	1832	13829
117	1843	13776
118	1854	13732
119	1865	13683
120	1886	13703
121	1900	13678
122	1916	13664
123	1928	13621
124	1937	13560
125	1947	13507
126	1958	13460
127	1971	13433
128	1985	13406
129	1995	13353
130	2011	13346
131	2024	13315
132	2038	13288
133	2047	13233
134	2056	13175
135	2071	13161
136	2082	13121
137	2097	13102
138	2109	13067
139	2123	13041
140	2135	13011
141	2141	12941
142	2157	12930
143	2172	12912
144	2179	12853
145	2193	12829
146	2208	12814
147	2220	12785
148	2233	12759
149	2246	12731
150	2258	12697
151	2275	12695
152	2292	12688
153	2301	12641
154	2318	12638
155	2332	12617
156	2349	12614
157	2356	12558
158	2370	12538
159	2381	12504
160	2397	12492
161	2411	12473
162	2419	12425
163	2434	12409
164	2447	12385
165	2461	12365
166	2492	12431
167	2504	12404
168	2520	12395
169	2529	12348
170	2538	12307
171	2555	12301
172	2567	12272
173	2580	12248
174	2590	12211
175	2598	12165
176	2611	12141
177	2623	12113
178	2637	12099
179	2652	12085
180	2665	12062
181	2688	12083
182	2700	12056
183	2712	12029
184	2727	12013
185	2734	11965
186	2746	11939
187	2759	11918
188	2774	11907
189	2785	11876
190	2791	11825
191	2809	11822
192	2824	11809
193	2840	11802
194	2851	11772
195	2864	11751
196	2884	11758
197	2896	11731
198	2908	11705
199	2920	11681
200	2932	11657
201	2941	11621
202	2960	11622
203	2974	11606
204	2993	11608
205	3008	11595
206	3018	11562
207	3031	11541
208	3045	11524
209	3054	11491
210	3066	11468
211	3078	11440
212	3092	11427
213	3111	11427
214	3124	11409
215	3136	11383
216	3145	11349
217	3160	11338
218	3173	11319
219	3186	11297
220	3195	11262
221	3211	11253
222	3220	11220
223	3235	11207
224	3243	11171
225	3258	11161
226	3277	11161
227	3293	11152
228	3311	11150
229	3321	11120
230	3336	11108
231	3347	11082
232	3361	11065
233	3376	11054
234	3388	11031
