iter	Logloss
0	0.6881132735
1	0.6840063866
2	0.6803880245
3	0.6770208643
4	0.6740826546
5	0.6691840152
6	0.6660870085
7	0.6628318949
8	0.6579043612
9	0.6545087124
10	0.6511042169
11	0.6475269236
12	0.6438157914
13	0.6408874836
14	0.6374353449
15	0.635032248
16	0.6313031785
17	0.6276639167
18	0.624395005219	0.6257567304
20	0.6221662887
21	0.618825669
22	0.6162065547
23	0.6128010442424	0.6096835032525	0.6066323544
26	0.6032265196
27	0.6006002223
28	0.5973826469
29	0.594464647
30	0.5917877847
31	0.5893911402
32	0.5870566267
33	0.5842499429
34	0.5818364569
35	0.5797809033336	0.5778129253337	0.57548178
38	0.5723789702
39	0.5702082857
40	0.5683551951
41	0.565585806
42	0.5627501873
43	0.5601554627
44	0.5579036956
45	0.5553601853
46	0.5526736645
47	0.5507695218
48	0.545197426
49	0.5439080989
50	0.5416517055
51	0.5385449998
52	0.5368616226553	0.5350404293
54	0.5321724263
55	0.5303597958556	0.5282403662
57	0.5262857802
58	0.5235967839
59	0.5212705896
60	0.5182658256
61	0.5165820832
62	0.5140814274
63	0.5123271536
64	0.5099166302
65	0.5089780566	66	0.4996860167	67	0.4977991636868	0.4959256596969	0.4943931257070	0.4919148707171	0.49009688372	0.4935402566773	0.4915837227
7474	0.48411596575	0.4867905556
76	0.4852392318
77	0.4823864064
78	0.480170676
79	0.4782422654
80	0.4760656154
81	0.4743332964
82	0.4720395677
83	0.4702669509
84	0.46859587
85	0.4670204812
86	0.4650382996
87	0.4629675683
88	0.4611781912
89	0.4592726687
90	0.4568431124
91	0.4544851831
92	0.4527164216
93	0.4507460899
94	0.4485851856
95	0.447227478
96	0.445577662
97	0.4438417313
98	0.4422049827
99	0.4404751392
100	0.4383815197
101	0.4368251638
102	0.4354884777
103	0.4338899978
104	0.4326225443
105	0.4312318031
106	0.4295760621
107	0.4272335539
108	0.4258348993
109	0.4248524524
110	0.4229879176
111	0.4214725089
112	112	0.4210043113	113	0.4200005114	114	0.418600115	0115	0.416880116	0116	0.4155472695
117	0.413971118	0118	0.4130903203
119	0.41109120	0.120	0.40957121	0.121	0.4078880878
122	0.4062401792
123	0.4044034836
124	0.4033616249
125	0.4021285037
126	0.4012694663
127	0.39968128	0128	0.397813129	0129	0.396295130	0130	0.395419131	0131	0.394395132	0132	0.392968133	0133	0.391307134	0134	0.390061135	0.3898237512
136	0136	0.388291137	0137	0.387019138	0138	0.386030139	0139	0.384768140	0.3829295382
141	0.3821559663
142	0.3812597153
143	0.3800728575
144	0.3792748553
145	0.3784517329
146	0.3772489669
147	0.3760757446
148	0.3745957638
149	0.3733087905
150	0.3721065927
151	0.370777333
152	0.3696972867
153	0.3681735992
154	0.3669682767
155	0.3658245168
156	0.3643165751
157	0.3635529051
158	0.3623742043
159	0.3612554834
160	0.3604916512
161	0.3594271477
162	0.3581941483
163	0.3572598721
164	0.3558606087
165	0.3544897932
166	0.3536323791
167	0.3529589227
