iter	Passed	Remaining
0	48	48106
1	74	37071
2	84	28027
3	91	22700
4	100	20020
5	110	18268
6	119	17009
7	127	15829
8	134	14804
9	140	13902
10	148	13372
11	154	12699
12	159	12075
13	165	11659
14	170	11206
15	176	10873
16	184	10640
17	190	10396
18	196	1019	201	9881
20	209	9757
21	215	9570
22	221	9412
23	227	24	2224	234	25	2325	245	9206
26	253	9135
27	262	9097
28	269	9032
29	279	9025
30	285	8922
31	297	8993
32	306	8973
33	312	8883
34	318	8789
35	323	8665
36	329	8579
37	336	8520
38	344	8499
39	354	8501
40	357	8369
41	363	8289
42	374	8337
43	380	8261
44	388	8253
45	396	8227
46	403	8184
47	409	8122
48	417	48	4349	429	49	4550	440	50	4651	449	51	4753	457	52	4854	463	53	493	8638
54	4956	479	55	5057	489	56	5158	499	57	5259	505	58	5360	513	59	5461	525	60	5562	532	61	5563	542	62	5664	553	7954
65	562	7960
66	574	7999
67	583	8002
68	592	7993
69	599	7963
70	604	7913
71	613	7906
72	618	7859
73	627	7854
74	641	7906
75	647	7867
76	653	7838
77	658	7780
78	661	7715
79	671	7722
80	679	7706
81	687	7693
82	693	7660
83	700	7639
84	707	83	7385	713	84	7386	718	85	747	7946
86	754	7920
87	765	7929
88	773	7917
89	778	7874
90	788	7879
91	796	7860
92	802	7827
93	817	7879
94	825	7859
95	840	7915
96	847	7891
97	853	7851
98	863	7857
99	871	7847
100	884	7874
101	892	7856
102	901	7851
103	910	7848
104	919	7835
105	925107	90106	932108	919	7512
109	928	7515
110	946	7579
111	962	7628
112	972	7630
113	986	7668
114	1001	7703
115	1017	7751
116	1034	7804
117	1044	7808
118	1059	7841
119	1068	7833
120	1077	7827
121	1090	7844
122	1099	7837
123	1110	7847
124	1118	7832
125	1128	7827
126	1134	7798
127	1141	7774
128	1147	7750
129	1157	7745
130	1170	7762
131	1180	7762
132	1187	7738
133	1197	7738
134	1206	7730
135	1213	7712
136	1221	7697
137	1233	7705
138	1245	7711
139	1257	7724
140	1261	7683
141	12140	1288142	12141	1297	7838
142	1302	7805
143	1309	7784
144	1314	7751
145	1318	7714
146	1331	7725
147	1338	7706
148	1348	7699
149	1357	7691
150	1364	7672
151	1374	7667
152	1382	7653
153	1392	7648
154	1397	7618
155	1404	7598
156	1413	7590
157	1423	7587
158	1434	7585
159	1439	7558
160	1445	7530
161	1450	7504
162	1459	7495
163	1468	7488
164	1480	7493
165	1486	7470
166	1498	7473
167	1504	7448
168	1512	7436
169	1518	7414
170	1527	7405
171	1534	7388
172	1543	7380
173	1550	7358
174	1555	7335
175	1562	7314
176	1569	7296
177	1576	7279
178	1584	7265
179	1588	7237
180	1597	7229
181	1605	7214
182	1611	7195
183	1618	7177
184	1625	7162
185	1633	7147
186	1641	7135
187	1646	7113
188	1657	7111
189	1667	7108
190	1675	7095
191	1678	7064
192	1686	7053
193	1694	7041
194	1703	7030
195	1715	7036
196	1724	7028
197	1732	7015
198	1738	6996
199	1748	6992
200	1756	6980
201	1763	6966
202	1769	6946
203	1776	6932
204	1782	6910
205	1790	6902
206	1795	68720207	1805	6876
208	1813	6864
209	1817	68321210	1825	68221211	1835	6821
212	1843	68121213	1856	6819
214	1862	67921215	1871	67921216	1886	6807
217	1892	6789
218	1907	6801
219	1919	6805
220	1925	6788
221	1934	6779
222	1944	6775
223	1955	6775
224	1967	6776
225	1979	6778
226	1988	6772
227	2001	6776
228	2013	6780
229	2020	6763
230	2025	6741
231	2037	6745
232	2055	6766
233	2068	6770
234	2075	6757
235	2085	6752
236	2094	6742
237	2102	6732
238	2106	6706
239	2115	6699
240	2122	6683
241	2135	6689
242	2145	6684
243	2152	6669
244	2158	6652
245	2171	6655
246	2181	6650
247	2187	6633
248	2194	6618
249	2201	6603
250	2214	6608
251	2222	6596
252	2233	6594
253	2245	6593
254	2253	6583
255	2264	6581
256	2270	6564
257	2281	6560
258	2288	6546
259	2295	6533
260	2308	6537
261	2317	6527
262	2325	6517
263	2332	6503
264	2342	6497
265	2348	6480
266	2354	6464
267	2364	6458
268	2370	6442
269	2381	6438
270	2386	6420
271	2393	6405
272	2402	6397
273	2416	6402
274	2420	6382
275	2434	6385
276	2440	6369
277	2451	6366
278	2459	6355
279	2465	6341
280	2474	6331
281	2482	6319
282	2496	6324
283	2508	6323
284	2516	6314
285	2525	6306
286	2533	6293
287	2543	6288
288	2551	6277
289	2556	6258
290	2563	6246
291	2572	6237
292	2580	6226
293	2584	6206
294	2592	6195
295	2600	6184
296	2608	61729297	2615	61629298	2625	61530299	2631	61330300	2643	61330301	2653	61330302	2659	61130303	2672	61130304	2681	61030305	2689	60930306	2695	60830307	2704	60730308	2710	60631309	2714	60431310	2725	603312	2703	5933
313	2716	5933
314	2726	5929
315	2738	5927
316	2745	5914
317	2762	5924
318	2766	5905
319	2780	5908
320	2791	5904
321	2804	5904
322	2812	5895
323	2827	5899
324	2839	5898
325	2846	5884
326	2851	5868
327	2860	5859
328	2871	5856
329	2882	5853
330	2893	5849
331	2899	5833
332	2911	5831
333	2918	5819
334	2928	5812
335	2937	5804
336	2943	5789
337	2956	5790
338	2964	5781
339	2974	5773
340	2987	5772
341	2994	5761
342	2999	5745
343	3009	5738
344	3022	5737
345	3026	5720
346	3035	5712
347	3043	5701
348	3052	5694
349	3059	5681
350	3070	5677
351	3084	5678
352	3094	5672
353	3104	5665
354	3112	5654
355	3122	5649
356	3129	5635
357	3134	5620
358	3142	5611
359	3156	5611
360	3168	5609
361	3174	5595
362	3184	5588
363	3191	5576
364	3200	5567
365	3212	5564
366	3222	5558
367	3232	5550
368	3241	5543
369	3247	5529
370	3252	5514
371	3259	5502
372	3261	5482
373	3269	5473
374	3277	5463
375	3280	5443
376	3287	5432
377	3293	5418
378	3302	5411
379	3308	5397
380	3320	5394
381	3326	5381
382	3331	5367
383	3343	5363
384	3352	5355
385	3361	5346
386	3367	5333
387	3373	5321
388	3382	5312
389	3391	5304
390	3401	5297
391	3409	5288
392	3417	5278
393	3426	5270
394	343394	344395	3442	5251
396	3452	5244
397	346397	347398	347398	349399	347399	350400	348400	350401	349401	3520	5236
402	3530	5229
403	3542	5225
404	3550	5216
405	3562	5211
406	3570	5201
407	3580	5195
408	3592	5191
409	3602	5183
410	3610	5174
411	3616	5161
412	3627	5156
413	3636	5147
414	3645	5138
415	3654	5130
416	3660	5117
417	3670	5111
418	3681	5104
419	3689	5095
420	3700	5088
421	3711	5084
422	3718	5072
423	3732	5070
424	3739	5059
425	3746	5047
426	3752	5035
427	3760	5025
428	3767	5014
429	3777	5007
430	3791	5005
431	3800	4996
432	3810	4989
433	3824	4988
434	3835	4982
435	3849	4980
436	3858	4971
437	3867	4963
438	3877	4954
439	3887	4947
440	3896	4938
441	3906	4931
442	3920	4929
443	3928	4919
444	3937	4910
445	3947	4903
446	3957	4895
447	3965	4886
448	3969	4871
449	3973	4855
450	397451	3994	4842
452	4009	4841
453	4024	4840
454	4042	4842
455	4053	4835
456	4063	4828
457	4077	4825
458	4085	4815
459	4093	4805
460	4101	4795
461	4109	4785
462	4117	4776
463	4125	4765
464	4134	4756
465	4138	4742
466	4146	4731
467	4155	4723
468	4162	4713
469	4172	4705
470	4183	4698
471	4186	4683
472	4192	4671
473	4203	4664
474	4212	4655
475	4215	4640
476	4224	4632
477	4232	4622
478	4240	4612
479	4249	4603
480	4256	4592
481	4266	4584
482	4276	4577
483	4284	4568
484	4290	4555
485	4303	4551
486	4310	4540
487	4323	4536
488	4333	4528
489	4340	4517
490	4345	4505
491	4357	4499
492	4366	4490
493	4369	4475
494	4379	4467
495	4386	4457
496	4398	4451
497	4410	4446
498	4420	4438
499	4427	4427
500	4439	4421
501	4444	4409
502	4454	4401
503	4463	4392
504	4470	4381
505	4478	4372
506	4485	4361
507	4494	4352
508	4502	4343
509	4508	4331
510	4514	4319
511	4519	4307
512	4526	4297
513	4534	4287
514	4544	4279
515	4550	4268
516	4555	4255
517	4564	4247
518	4576	4241
519	4584	4232
520	4592	4221
521	4599	4211
522	4603	4198
523	4615	4193
524	4627	4186
525	4633	4175
526	4643	4167
527	4651	4158
528	4660	4149
529	4667	4139
530	4675	4129
531	4680	4117
532	4687	4106
533	4696	4098
534	4707	4091
535	4714	4081
536	4720	4070
537	4731	4063
538	4740	4054
539	4745	4042
540	4756	4035
541	4762	4024
542	4769	4013
543	4777	4004
544	4786	3996
545	4791	3984
546	4799	3974
547	4809	3967
548	4817	3957
549	4827	3949
550	4831	3937
551	4841	3929
552	4845	3916
553	4854	3908
554	4860	3897
555	4867	3886
556	4877	3879
557	4886	3870
558	4893	3860
559	4902	3851
560	4911	3843
561	4920	3834
562	4927	3824
563	4938	3817
564	4947	3808
565	4957	3800
566	4966	3792
567	4976	3785
568	4985	3776
569	4995	3768
570	5002	3758
571	5008	3747
572	5013	3735
573	5021	3726
574	5026	3715
575	5036	3707
576	5042	3696
577	5050	3687
578	5059	3678
579	5065	3668
580	5072	3658
581	5079	3647
582	5085	3637
583	5091	3627
584	5098	3616
585	5104	3606
586	5108	3594
587	5115	3584
588	5121	3573
589	5127	3563
590	5131	3551
591	5141	3543
592	5145	3531
593	5154	3523
594	5162	3513
595	5166	3501
596	5174	3493
597	5180	3482
598	5188	3473
599	5199	3466
600	5202	3454
601	5210	3444
602	5216	3434
603	5223	3424
604	5234	3417
605	5244	3409
606	5251	3399
607	5261	3392
608	5268	3382
609	5276	3373
610	5283	3364
611	5291	3354
612	5297	3344
613	5306	3335
614	5314	3326
615	5318	3315
616	5323	3304
617	5330	3295
618	5338	3285
619	5344	3275
620	5349	3265
621	5354	3253
622	5361	3244
623	5367	3234
624	5373	3224
625	5380	3214
626	5385	3203
627	5391	3193
628	5398	3184
629	5403	3173
630	5409	3163
631	5415	3153
632	5421	3143
633	5427	3133
634	5434	3123
635	5438	3112
636	5446	3103
637	5454	3094
638	5460	3085
639	5469	3076
640	5476	3067
641	5480	3056
642	5487	3046
643	5493	3036
644	5500	3027
645	5507	3017
646	5511	3007
647	5518	2997
648	5522	2986
649	5526	2975
650	5531	2965
651	5536	2955
652	5539	2943
653	5545	2933
654	5549	2923
655	5554	2912
656	5559	2902
657	5562	2891
658	5568	2881
659	5573	2871
660	5581	2862
661	5587	2852
662	5593	2842
663	5599	2833
664	5605	2823
665	5611	2814
666	5616	2803
667	5621	2794
668	5626	2783
669	5632	2774
670	5637	2764
671	5641	2753
672	5646	2743
673	5654	2735
674	5661	2726
675	5666	2716
676	5672	2706
677	5679	2697
678	5681	2685
679	5688	2677
680	5694	2667
681	5699	2657
682	5705	2647
683	5710	2638
684	5715	2628
685	5721	2618
686	5727	2609
687	5731	2599
688	5734	2588
689	5738	2578
690	5742	2567
691	5747	2558
692	5751	2547
693	5756	2538
694	5761	2528
695	5767	2518
696	5770	2508
697	5775	2498
698	5780	2489
699	5786	2479
700	5792	2470
701	5796	2460
702	5799	2450
703	5803	2440
704	5808	2430
705	5812	2420
706	5815	2410
707	5820	2400
708	5825	2390
709	5829	2381
710	5835	2371
711	5839	2362
712	5844	2352
713	5849	2343
714	5852	2332
715	5858	2323
716	5861	2313
717	5870	2305
718	5874	2296
719	5880	2286
720	5887	2278
721	5891	2268
722	5895	2258
723	5899	2249
724	5904	2239
725	5910	2230
726	5914	2220
727	5918	2211
728	5923	2202
729	5928	2192
730	5933	2183
731	5939	2174
732	5943	2165
733	5947	2155
734	5951	2145
735	5954	2135
736	5958	2126
737	5963	2116
738	5967	2107
739	5971	2098
740	5975	2088
741	5979	2079
742	5983	2069
743	5986	2060
744	5990	2050
745	5993	2040
746	5997	2031
747	6001	2022
748	6005	2012
749	6008	2002
750	6012	1993
751	6016	1984
752	6019	1974
753	6023	1965
754	6026	1955
755	6030	1946
756	6034	1936
757	6037	1927
758	6042	1918
759	6046	1909
760	6049	1899
761	6053	1890
762	6057	1881
763	6061	1872
764	6064	1863
765	6069	1854
766	6073	1845
767	6078	1836
768	6081	1826
769	6085	1817
770	6088	1808
771	6092	1799
772	6097	1790
773	6100	1781
774	6105	1772
775	6109	1763
776	6112	1754
777	6115	1745
778	6119	1736
779	6123	1727
780	6126	1717
781	6131	1709
782	6134	1700
783	6137	1690
784	6141	1682
785	6144	1673
786	6148	1664
787	6152	1655
788	6156	1646
789	6160	1637
790	6164	1628
791	6168	1620
792	6171	1610
793	6175	1602
794	6180	1593
795	6183	1584
796	6187	1576
797	6191	1567
798	6194	1558
799	6198	1549
800	6203	1541
801	6207	1532
802	6210	1523
803	6215	1515
804	6219	1506
805	6223	1497
806	6226	1489
807	6230	1480
808	6234	1471
809	6237	1463
810	6241	1454
811	6245	1445
812	6250	1437
813	6254	1429
814	6258	1420
815	6262	1412
816	6265	1403
817	6268	1394
818	6286	1389
819	6303	1383
820	6316	1377
821	6322	1369
822	6330	1361
823	6340	1354
824	6349	1346
825	6359	1339
826	6368	1332
827	6374	1324
828	6386	1317
829	6394	1309
830	6404	1302
831	6412	1294
832	6424	1287
833	6432	1280
834	6443	1273
835	6449	1265
836	6457	1257
837	6466	1250
838	6475	1242
839	6484	1235
840	6492	1227
841	6501	1220
842	6506	1211
843	6515	1204
844	6522	1196
845	6528	1188
846	6535	1180
847	6549	1173
848	6557	1166
849	6570	1159
850	6575	1151
851	6585	1143
852	6589	1135
853	6601	1128
854	6606	1120
855	6616	1113
856	6622	1104
857	6637	1098
858	6647	1091
859	6655	1083
860	6663	1075
861	6668	1067
862	6685	1061
863	6697	1054
864	6703	1046
865	6712	1038
866	6719	1030
867	6726	1022
868	6742	1016
869	6752	1009
870	6763	1001
871	6771	993
872	6778	986
873	6786	978
874	6796	970
875	6804	963
876	6812	955
877	6818	947
878	6826	939
879	6836	932
880	6844	924
881	6851	916
882	6858	908
883	6863	900
884	6868	892
885	6876	884
886	6881	876
887	6896	869
888	6917	863
889	6924	855
890	6931	847
891	6947	841
892	6957	833
893	6961	825
894	6966	817
895	6974	809
896	6978	801
897	6996	794
898	7004	786
899	7014	779
900	7047	774
901	7056	766
902	7060	758
903	7064	750
904	7072	742
905	7077	734
906	7088	726
907	7111	720
908	7114	712
909	7117	703
910	7120	695
911	7123	687
912	7126	679
913	7129	670
914	7132	662
915	7135	654
916	7138	646
917	7141	637
918	7144	629
919	7148	621
920	7151	613
921	7154	605
922	7157	597
923	7160	588
924	7164	580
925	7167	572
926	7170	564
927	7173	556
928	7176	548
929	7179	540
930	7183	532
931	7185	524
932	7188	516
933	7191	508
934	7194	500
935	7197	492
936	7200	484
937	7203	476
938	7205	468
939	7208	460
940	7211	452
941	7214	444
942	7217	436
943	7220	428
944	7222	420
945	7225	412
946	7228	404
947	7231	396
948	7234	388
949	7237	380
950	7240	373
951	7243	365
952	7246	357
953	7249	349
954	7252	341
955	7255	333
956	7258	326
957	7261	318
958	7264	310
959	7267	302
960	7270	295
961	7273	287
962	7276	279
963	7280	271
964	7283	264
965	7286	256
966	7289	248
967	7293	241
968	7296	233
969	7299	225
970	7302	218
971	7305	210
972	7308	202
973	7311	195
974	7314	187
975	7317	179
976	7320	172
977	7323	164
978	7326	157
979	7329	149
980	7332	142
981	7334	134
982	7337	126
983	7340	119
984	7343	111
985	7346	104
986	7349	96
987	7351	89
988	7354	81
989	7357	74
990	7360	66
991	7362	59
992	7365	51
993	7368	44
994	7370	37
995	7373	29
996	7376	22
997	7379	14
998	7382	7
999	7385	0
2	0
