iter	Passed	Remaining
0	173	173825
1	285	142323
2	287	954303	326	81302
4	377	75065
5	414	68701
6	426	60463
7	428	53086
8	445	49047
9	447	44283
10	448	40354
11	450	37107
12	452	34346
13	469	33031
14	474	31178
15	485	29884
16	498	28822
17	500	27295
18	501	25907
19	511	25061
20	513	23926
21	524	23333
22	526	22362
23	530	21556
24	531	20735
25	534	20004
26	537	19367
27	544	18918
28	546	18312
29	548	17740
30	550	17206
31	556	16832
32	574	16833
33	576	16369
34	578	15938
35	579	15529
36	584	15207
37	585	14829
38	587	14470
39	589	14146
40	591	13831
41	593	13531
42	594	13241
43	604	13136
44	606	12868
45	607	12608
46	626	12711
47	628	12467
48	633	12290
49	635	12072
50	636	11850
51	638	11643
52	640	11444
53	642	11247
54	643	11060
55	645	10875
56	651	10779
57	653	10613
58	655	10450
59	657	10294
60	664	10235
61	666	10088
62	675	10042
63	676	9898
64	683	9838
65	685	9705
66	693	9650
67	704	9650
68	706	9526
69	707	9403
70	709	9281
71	711	9167
72	713	9056
73	714	8946
74	725	8942
75	734	8930
76	736	8825
77	737	8723
78	739	8625
79	741	8529
80	743	8432
81	745	8341
82	746	8251
83	748	8161
84	750	8074
85	751	7991
86	753	7909
87	755	7830
88	758	7761
89	760	90	761	7607
91	763	7533
92	76593	771	7435
94	77294	779	7425
95	7895	793	96	798	7433
97	8097	812	7477
98	814	7409
99	816	7344
100	819	7290
101	836	7361
102	837	7297
103	863	7442
104	865	7378
105	867	7316
106	869	7253
107	870	7190
108	872	7131
109	874	7072
110	876	7016
111	877	6960
112	879	113	811114	880	6776
115	890	6786
116	892	6733
117	901	6739
118	913	6764
119	915	6713
120	918	6671
121	937	6747
122	943	6730
123	945	6679
124	947	6631
125	949	6584
126	954	6559
127	963	6566
128	965	652128	978	6605
129	979	6558
13131	984	6472
132	993	6475
133	995	643133	1005	6495
1135	1014	6444
136	1029	6486
137	1032	6451
138	1034	6410
139	1041	6399
140	1043	6357
141	1045	6315
142	1058	6346
143	1060	6306
144	1062	6264144	1071	6318
145	1073	6279
146	1075	6239
147	1076	6198
148	1078	6160
1150	1094	6152
151	1101	6144
152	1112	6161
153	1118	6146
154	1120	6109
155	1122	6073
156	1133	6084
157	1134	6047
158	1136	6010
159	1138	5974
160	1139	5939
161	1158	5991
162	1162	5969
163	1181	6024
164	1183	5989
165	1184	5953
166	1186	5919
167	1188	5885
168	1190	5852
169	1203	5875
170	1205	5843
171	1207	5810
172	1208	5777
173	1210	5745
174	1217	5738
175	1219	5707
176	1240	5766
177	1241	5735
178	1243	5704
179	1252	5705
180	1253	5673
181	1255	5643
182	1267	5659
183	1269	5630
184	1278	5632
185	1280	5603
186	1295	5630
187	1296	5601
188	1298	5572
189	1308	5579
190	1310	5550
191	1311	5520
192	1313	5492
193	1315	5465
194	1326	5474
195	1328	5447
196	1329	5421
197	1331	5393
198	1333	5365
199	1344	5378
200	1346	5352
201	1348	5325
202	1354	5317
203	1367	5334
204	1368	5308
205	1383	5333
206	1385	5307
207	1387	5282
208	1389	5259
209	1396	5252
210	1397	5226
211	1407	5230
212	1409	5206
213	1410	5181
214	1418	5179
215	1425	5172
216	1426	5148
217	1440	5168
218	1442	5145
219	1444	5121
220	1446	5098
221	1448	5075
222	1450	5052
223223	1450	5026
224	1452	5004
225	1454	49226226	1459	49227227	1467	4969
228	1469	4946
229	1471	4925
230	1472	49231	1480	4900
232	1482	4879
233	1483	4857
234	1486	4837
235235	1498	48236236	1500	48237237	1502	48238	1513	4820
239	1530	4846
240	1532	4825
241	1537	4814
242	1538	4793
243	1540	4773
244	1542	4753
245	1544	4732
246	1550	4726
247	1562	4737
248	1564	4717
249	1565	4697
250	1567	4677
251	1575	4677
252	1577	4657
253	1579	4637
254	1580	4617
255	1591	4625
256	1603	4636
257	1605	4618
258	1607	4600
259259	1608	45260	1619	4585
261261	1639	4618
262	1641	4599
263	1643	4580
264	1655	4592
265	1657	45266	1670	4585
267	1678	4584
268	1680	4566
269	1682	4547
270	1700	4575
271	1702	4556
272	1704	4539
273273	1703	45274274	1705	44275275	1706	44276	1721	4494
277277	1729	4492
278	1731	4474
279	1743	4482
280	1744	4464
281	1746	4447
282	1748	4430
283	1750	4413
284	1752	4395
285	1760	4393
286	1761	4377
287	1763	4360
288	1765	4343
289	1783	4367
290	1785	4350
291	1792	4347
292	1794	4330
293	1796	4314
294	1808	4322
295	1810	4306
296	1812	4289
297	1814	4273
298	1815	4256
299	1817	4240
300	1819	4224
301	1820	4207
302	1822	4192
303	1824	4177
304	1826	4161
305	1828	4145
306	1835	4142
307	1840	4134
308	1841	4119
309	1853	4125
310	1862	4127
311	1876	4138
312	1878	4123
313	1880	4107
314	1881	4091
315	1883	4077
316	1888	4068
317	1890	4054
318	1892	40319	1901	4040
320	1903	4025
321	1906	4014
322	1909	4002
323323	1932	4032
324	1936	4022
325	1939	4009
326	1941	3995
327	1942	3980
328	1945	39329	1960	3980
330	1967	3977
331	1970	3964
332	1976	3958
333	1978	3945
334	1980	3932
335	1982	3918
336	1984	3905
337	1998	3914
338	2000	3900
339	2002	3886
340	2005	3876
341	2007	3862
342	2008	3847
343	2023	3858
344	2039	3871
345	2040	3857
346	2042	3844
347	2044	3830
348348	2042	38349349	2044	3349	2067	3838
350	2068	3825
351	352	2067	3788
353	2076	3788
354	2078	3354	355	2083	3769
356	2091	3356	2109	3798
357	2110	3785
358	359	2117	3764
360	2119	3360	361	2139	3771
362	2141	3758
363	2152	3761
364	2155	3749
365	2156	3736
366	2158	3723
367	2168	3723
368	2169	3710
369	2183	3717
370	2185	3706
371	2189	3696
372	2203	3703
373	2229	3731
374	2245	3742
375	2247	3730
376	2250	3718
377	2251	3705
378	2259	3702
379	2279	3719
380	2311	3755
381	2313	3743
382	2315	3730
383	2317	3717
384	2330	3723
385	2333	3711
386	2335	3698
387	2336	3685
388	2338	3672
389	2346	3670
390	2348	3658
391	2350	3646
392	2363	3650
393	2365	3638
394	2367	3625
395	2381	3632
396	2383	3619
397	2386	3609
398	2389	3598
399	2391	3586
400	2393	3575
401	2395	3563
402	2397	3551
403	2399	3539
404	2423	3560
405	2427	3550
406	2428	3538
407	2430	3526
408	2439	3524
409	2441	3512
410	2442	3500
411	2444	3488
412	2450	3483
413	2452	3471
414	2454	3460
415	2457	3449
416	2459	3438
417	2469	3438
418	2471	3427
419	2473	3415
420	2475	3404
421	2477	3392
422	2479	3381
423	2480	3370
424	2482	3358
425	2484	3347
426	2485	3335
427	2488	3325
428	2489	3313
429	2491	3302
430	2492	3291
431	2494	3280
432	2496	3269
433	2498	3258
434	2500	3247
435	2502	3237
436	2504	3226
437	2506	3215
438	2508	3205
439	2510	31440	2516	3190
441	2518	3179
442	2520	3168
443	2524	3161
444	2526	3150
445	2527	3140
446	2529	3129
447	2531	3118
448	2533	3108
449	2536	3099
450	2537	3089
451	2539	3079
452	2541	3068
453	2543	3058
454	2553	3058
455	2555	3048
456	2557	3038
457	2559	3028
458	2561	3018
459	2563	3008
460	2566	3000
461	2569	2991
462	2570	2981
463	2572	2971
464	2574	2961
465	2576	2952
466	2585	2950
467	2595	2950
468	2601	2945
469	2607	2940
470	2609	2931
471	2621	2932
472	2635	2936
473	2637	2927
474	2639	2917
475	2656	2924
476	2665	2922
477	2676	2923
478	2678	2913
479	2688	2912
480	2690	2902
481	2692	2893
482	2694	2884
483	2700	2878
484	2701	2868
485	2703	2859
486	2716	2861
487	2718	2852
488	2733	2856
489	2734	2846
490	2736	2837
491	2738	2827
492	2740	2818
493	2743	2809
494	2745	2800
495	2746	2791
496	2755	2788
497	2757	2779
498	2759	2770
499	2761	2761
500	2763	2752
501	2765	2743
502	2775	2742
503	2777	2733
504	2779	2724
505	2781	2715
506	2783	2706
507	2785	2697
508	2787	2688
509	2788	2679
510	2796	2676
511	2812	2680
512	2814	2671
