iter	MultiClass
0	1.805148252
1	1.635830117
2	1.521244723
3	1.427358688
4	1.346731836
5	1.259147793
6	1.188145629
7	1.120939796
8	1.057546827
9	1.011118222
10	0.9742223226
11	0.9275146329
12	0.8860761625
13	0.8638867482
14	0.838612989
15	0.8102294493
16	0.7909526832
17	0.7729431022
18	0.7572781855
19	0.7311077338
20	0.7095877987
21	0.6943960016
22	0.6778009514
23	0.6615075644
24	0.648259115
25	0.6377261926
26	0.6256761572
27	0.6200146814
28	0.603057412929	0.5909388846
30	0.5833810743131	0.576013898
32	0.56611064
33	0.5550654742
34	0.5433529595
35	0.5336068781
36	0.5263924316
337	0.5093248632338	0.5029783093939	0.496546009440	0.489968566141	0.4902163925
42	0.4821145204
443	0.473394528
44	0.4672729887
45	0.4606587861
46	0.4548675089
47	0.4495876604
48	0.4447279343
49	0.4396945037
50	0.4326477051
51	0.4268628494
52	0.4248582659
53	0.4191876486
54	0.413574856
55	0.4073602302
56	0.4026380743
57	0.3974768684
58	0.3929742947
59	0.3891666679
60	0.385599962
61	0.3808339205
62	0.3757237345
63	0.3713484959
64	0.367350756
65	65	0.3680828766	0.3595706459
67	0.3575828437
68	68	0.3581474969	0.3492150338
70	70	0.3512842471	0.3409943541
72	0.3376853024
73	0.3333088777
74	74	0.3380138275	0.3264835522
76	76	0.329020957777	0.32646816478	0.3163005496
79	0.3131254304
80	0.3097490986
8181	0.315256441882	0.313056254883	0.3022869655
884	0.3075581477885	0.3050050738886	0.3012163729887	0.298579754188	0.2885067335
89	0.2856620898
90	0.2832814188
91	0.2809042721
92	0.277285393
93	0.2741276357
94	0.2724634141
95	0.2702002154
96	0.2675901063
97	0.2650356743
98	0.2626694641
99	0.2609112427
100	0.2583190921
101	0.2560794551
102	0.2537438517
103	0.2511235249
104	0.2494010881
105	0.2475809323
106	0.2451968598
107	0.2435484119
108	0.241510291
109	0.2393182517
110	0.2370467439
111	0.2351956253
112	0.2333760146
113	0.2315838225
114	0.2299648304
115	0.2282283799
116	0.2269928953
117	0.2245191501
118	0.2223551165
119	0.2204276447
120	0.2188788632
121	0.2172063099
122	0.2149937143
123	0.2134572594
124	0.2117984623
125	0.210333402
126	0.2089245086
127	0.2072366295
128	0.2058809413
129	0.204921845
130	0.2031734204
131	0.2024066484
132	0.2010372606
133	0.2000843641
134	0.1987714881
135	0.1973563649
136	0.1964172216
137	0.1953504869
138	0.1945776653
139	0.1932465219
140	0.1918212407
141	0.1901767038
142	0.1889806013
143	0.1875891982
144	0.1863455579
145	0.1849426806
146	0.1840688334
147	0.1829046593
148	0.1818228599
149	0.180928502
150	0.1796369531
151	0.178317963
152	0.1774501767
153	0.17633409
154	0.1748384925
155	0.1738778286
156	0.1727241331
157	0.1716065085
158	0.1711580608
159	0.1702591072
160	0.1691152479
161	0.1677681389
162	0.1665049152
163	0.1656800186
164	0.164962381
165	0.1642533873
166	0.1633612515
167	0.1625401144
168	0.1616407467
169	0.1604505796
170	0.1592532659
171	0.1587948973
172	0.1577293161
173	0.1571750782
174	0.1560451982
175	0.1556067382
176	0.1546717453
177	0.1537867695
178	0.1529239518
179	0.1517618636
180	0.1508574144
181	0.1501074061
182	0.1495088761
183	0.1487715618
184	0.1484160759
185	0.1472539319
186	0.146778294
187	0.146085113
188	0.1452569244
189	0.1441715383
190	0.1435897202
191	0.1430515597
192	0.1422028558
193	0.1416089303
194	0.1409647626
195	0.1402479517
196	0.1395614006
197	0.138745178
198	0.1379730557
199	0.1371865844
200	0.1365259159
201	0.1360034917
202	0.1353189207
203	0.1347491622
204	0.1342584563
205	0.1333400797
206	0.1326972819
207	0.1318674016
208	0.1309814668
209	0.1305898083
210	0.1298598879
211	0.1293036358
212	0.1286082081
213	0.1281281275
214	0.1275046724
215	0.1270140454
216	0.1266183997
217	0.1260423807
218	0.1254901009
219	0.1251281996
220	0.1249111155
221	0.1240533956
222	0.1235381121
223	0.1229619093
224	0.1221667872
225	0.1217520104
226	0.1213960874
227	0.1208664007
228	0.1204862365
229	0.1200469796
230	0.1194514231	231	0.1190290388
