iter	Passed	Remaining
0	167	167773
1	172	86251
2	185	61724
3	207	51727
4	225	44817
5	242	40249
6	256	36368
7	280	34748
8	300	33037
9	313	30991
10	331	29843
11	350	28853
12	367	27896
13	373	26305
14	389	25583
15	403	24821
16	421	24347
17	439	23983
18	446	23037
19	459	22518
20	474	22109
21	491	21840
22	505	21474
23	516	21023
24	532	20761
25	544	20413
26	552	19923
27	563	19562
28	575	19280
29	592	19154
30	598	18723
31	617	18669
32	631	18515
33	646	18372
34	661	18244
35	677	18131
36	695	18101
37	759	19218
38	773	19062
39	790	18969
40	803	18789
41	777	17729
42	793	17652
43	851	18504
44	865	18359
45	883	18315
46	897	18191
47	910	18057
48	881	17114
49	897	17043
50	913	17005
51	927	16901
52	986	17633
53	956	16749
54	970	16682
55	987	16653
56	1004	16623
57	1020	16571
58	1036	16523
59	1052	16494
60	1069	16466
61	1085	16420
62	1103	16406
63	1121	16401
64	1137	16358
6565	1198	169666	1171	16318
67	1190	16316
6868	1250	168769	1221	16233
7070	1284	168171	1260	16241
72	1277	16222
73	1298	16249
7474	1359	167675	1330	16179
7676	1392	16697777	1408	166578	1379	16087
79	1399	16088
80	1416	16072
8181	1470	16468282	1487	164383	1460	15930
8484	1520	16378585	1542	16398686	1558	16358787	1571	162888	1544	15810
89	1566	15840
90	1580	15789
91	1599	15786
92	1613	15731
93	1625	15670
94	1643	15657
95	1657	15605
96	1671	15564
97	1685	15509
98	1701	15484
99	1716	15447
100	1731	15412
101	1747	15387
102	1762	15347
103	1783	15362
104	1796	15312
105	1815	15312
106	1830	15277
107	1844	15235
108	1861	15215
109	1873	15159
110	1887	15119
111	1901	15075
112	1915	15035
113	1930	15003
114	1945	14969
115	1961	14945
116	1972	14885
117	1989	14873
118	2007	14860
119	2023	14840
120	2043	14842
121	2066	14874
122	2090	14904
123	2109	14903
124	2125	14880
125	2151	14922
126	2173	14941
127	2188	14910
128	2201	14863
129	2222	14873
130	2239	14858
131	2262	14880
132	2287	14911
133	2309	14927
134	2326	14904
135	2349	14925
136	2368	14921
137	2388	14919
138	2416	14966
139	2439	14983
140	2460	14991
141	2478	14973
142	2499	14978
143	2518	14969
144	2537	14962
145	2555	14949
146	2572	14925
147	2592	14926
148	2608	14899
149	2626	14881
150	2642	14857
151	2660	14844
152	2686	14872
153	2705	14862
154	2727	14867
155	2745	14853
156	2765	14847
157	2780	14817
158	2797	14798
159	2814	14776
160	2830	14750
161	2843	14708
162	2867	14723
163	2888	14722
164	2904	14700
165	2924	14694
166	2945	14690
167	2961	14666
168	2979	14652
169	2996	14630
170	3014	14615
171	3037	14623
